image_path,label
data/flower_images\Lotus\81d74b1184.jpg,Lotus
data/flower_images\Orchid\9a3230fab6.jpg,Orchid
data/flower_images\Orchid\a792a1c723.jpg,Orchid
data/flower_images\Lotus\10012f282d.jpg,Lotus
data/flower_images\Lilly\b315379e24.jpg,Lilly
data/flower_images\Lilly\1cc938684b.jpg,Lilly
data/flower_images\Lilly\94f8d3f7d9.jpg,Lilly
data/flower_images\Orchid\7a2fe9181d.jpg,Orchid
data/flower_images\Orchid\6d24dcbb40.jpg,Orchid
data/flower_images\Lotus\9d80b60ff4.jpg,Lotus
data/flower_images\Orchid\79603d8716.jpg,Orchid
data/flower_images\Lilly\3cbc4d94f3.jpg,Lilly
data/flower_images\Lilly\e752a192df.jpg,Lilly
data/flower_images\Lilly\c9b167647f.jpg,Lilly
data/flower_images\Sunflower\05cacd01ad.jpg,Sunflower
data/flower_images\Sunflower\8a95738039.jpg,Sunflower
data/flower_images\Lotus\13d061b666.jpg,Lotus
data/flower_images\Sunflower\5a1f36ff31.jpg,Sunflower
data/flower_images\Lotus\c05a56d144.jpg,Lotus
data/flower_images\Lotus\160a90eb0f.jpg,Lotus
data/flower_images\Lilly\e97314c593.jpg,Lilly
data/flower_images\Sunflower\0cf3abe516.jpg,Sunflower
data/flower_images\Lotus\1cecc63aa9.jpg,Lotus
data/flower_images\Lilly\a2ee8a6c3b.jpg,Lilly
data/flower_images\Tulip\c62860a2d1.jpg,Tulip
data/flower_images\Lilly\8058a2974c.jpg,Lilly
data/flower_images\Tulip\0fa79fd74b.jpg,Tulip
data/flower_images\Lilly\54b5f79ea2.jpg,Lilly
data/flower_images\Tulip\b11bc03977.jpg,Tulip
data/flower_images\Lilly\7c46ad198c.jpg,Lilly
data/flower_images\Lotus\f465985380.jpg,Lotus
data/flower_images\Lilly\6445794dd5.jpg,Lilly
data/flower_images\Tulip\d75f12961c.jpg,Tulip
data/flower_images\Tulip\dbf7e99529.jpg,Tulip
data/flower_images\Lotus\c2fcd33437.jpg,Lotus
data/flower_images\Orchid\87fd5fd279.jpg,Orchid
data/flower_images\Sunflower\9550a7da8a.jpg,Sunflower
data/flower_images\Tulip\4e838b391b.jpg,Tulip
data/flower_images\Tulip\f80239b5ed.jpg,Tulip
data/flower_images\Orchid\1bcbc2ecbf.jpg,Orchid
data/flower_images\Sunflower\98e55bcc42.jpg,Sunflower
data/flower_images\Tulip\1bb55d9169.jpg,Tulip
data/flower_images\Lilly\08186a8cb8.jpg,Lilly
data/flower_images\Lilly\12e1379ffe.jpg,Lilly
data/flower_images\Lilly\d3bfa7b850.jpg,Lilly
data/flower_images\Sunflower\e494de6ed7.jpg,Sunflower
data/flower_images\Sunflower\c6ed6eb819.jpg,Sunflower
data/flower_images\Tulip\a34f0267bc.jpg,Tulip
data/flower_images\Sunflower\2936510d3a.jpg,Sunflower
data/flower_images\Orchid\a806253578.jpg,Orchid
data/flower_images\Tulip\9c8cb29522.jpg,Tulip
data/flower_images\Tulip\a0cee27fa5.jpg,Tulip
data/flower_images\Orchid\771b5c1aac.jpg,Orchid
data/flower_images\Orchid\d7719c1ca7.jpg,Orchid
data/flower_images\Lotus\25190a4b10.jpg,Lotus
data/flower_images\Sunflower\131d290329.jpg,Sunflower
data/flower_images\Lotus\1a26b6c7b6.jpg,Lotus
data/flower_images\Lilly\2e23773349.jpg,Lilly
data/flower_images\Lotus\b02b9a74dc.jpg,Lotus
data/flower_images\Orchid\95a0a126be.jpg,Orchid
data/flower_images\Orchid\65bece13d3.jpg,Orchid
data/flower_images\Tulip\62f3e9eadc.jpg,Tulip
data/flower_images\Tulip\40636ae7a9.jpg,Tulip
data/flower_images\Sunflower\d7f5515293.jpg,Sunflower
data/flower_images\Lilly\06d90ec8dd.jpg,Lilly
data/flower_images\Orchid\a4579179b4.jpg,Orchid
data/flower_images\Sunflower\586c4fdb0e.jpg,Sunflower
data/flower_images\Orchid\391dccf5f6.jpg,Orchid
data/flower_images\Sunflower\b15e61792b.jpg,Sunflower
data/flower_images\Tulip\bb8e6e2b47.jpg,Tulip
data/flower_images\Lotus\e8ce1c3cb2.jpg,Lotus
data/flower_images\Lilly\1783ef85a1.jpg,Lilly
data/flower_images\Lilly\3c792177e9.jpg,Lilly
data/flower_images\Lilly\4df5e794a4.jpg,Lilly
data/flower_images\Lotus\0133af7453.jpg,Lotus
data/flower_images\Orchid\256b8d1f27.jpg,Orchid
data/flower_images\Lilly\b440b866fe.jpg,Lilly
data/flower_images\Orchid\cac27cf79d.jpg,Orchid
data/flower_images\Orchid\8c1cec2b8a.jpg,Orchid
data/flower_images\Sunflower\c2010e7175.jpg,Sunflower
data/flower_images\Sunflower\51a8a8ef6e.jpg,Sunflower
data/flower_images\Sunflower\2e37e4fd0d.jpg,Sunflower
data/flower_images\Tulip\2dd268fbac.jpg,Tulip
data/flower_images\Lotus\a0a9f78489.jpg,Lotus
data/flower_images\Sunflower\07c8a97c7b.jpg,Sunflower
data/flower_images\Lotus\6acf5327ad.jpg,Lotus
data/flower_images\Lilly\bed177dd64.jpg,Lilly
data/flower_images\Lilly\a63e16ec53.jpg,Lilly
data/flower_images\Tulip\cbab8f0c11.jpg,Tulip
data/flower_images\Sunflower\d5d271943a.jpg,Sunflower
data/flower_images\Tulip\2561b0f502.jpg,Tulip
data/flower_images\Lilly\78d5a5618b.jpg,Lilly
data/flower_images\Lilly\2c910f4007.jpg,Lilly
data/flower_images\Lotus\4cff3f44cb.jpg,Lotus
data/flower_images\Lilly\7f8b17c1ea.jpg,Lilly
data/flower_images\Tulip\bf66e868cc.jpg,Tulip
data/flower_images\Orchid\ee3b6df1cf.jpg,Orchid
data/flower_images\Sunflower\744cfedcf0.jpg,Sunflower
data/flower_images\Lilly\5f3d578353.jpg,Lilly
data/flower_images\Lilly\16af57945f.jpg,Lilly
data/flower_images\Lotus\8fd188c1df.jpg,Lotus
data/flower_images\Lotus\afd0008d49.jpg,Lotus
data/flower_images\Orchid\2466aa9d9a.jpg,Orchid
data/flower_images\Tulip\6c3c0a7f3e.jpg,Tulip
data/flower_images\Lilly\7820e1135c.jpg,Lilly
data/flower_images\Lilly\423527ea88.jpg,Lilly
data/flower_images\Lilly\eb4fc267d4.jpg,Lilly
data/flower_images\Lotus\570f408bde.jpg,Lotus
data/flower_images\Tulip\81b4e3ff08.jpg,Tulip
data/flower_images\Lotus\576a4fe81b.jpg,Lotus
